dDisplacement_nm_ori     dForce
0.386     1.5989
3.384     3.0725
7.302     8.9352
11.262     13.6066
18.286     24.4543
21.844     30.0035
25.29     36.0544
32.406     48.4383
35.769     53.6427
39.066     59.4741
42.449     64.9606
49.319     76.3099
52.78     82.2354
56.04     88.0981
62.818     100.5447
66.165     106.1567
69.688     110.7027
76.373     123.7763
79.895     130.4856
83.037     142.9008
86.518     149.8922
93.342     162.5583
96.859     168.1075
100.238     174.566
106.943     184.0342
110.28     189.3013
113.726     195.3835
120.627     210.3069
124.046     215.9188
127.353     220.5275
130.639     225.8886
137.606     239.3698
140.969     244.2921
144.538     251.0327
151.213     265.3917
154.797     271.1918
158.15     279.0297
165.138     291.8839
168.336     298.0288
171.921     305.5532
175.33     312.2938
182.308     323.0788
185.46     328.9415
189.029     335.9329
195.93     349.9471
199.555     354.9634
203.062     360.7948
209.963     372.5203
213.321     380.3582
216.751     387.475
220.324     393.5259
227.272     407.0698
230.804     413.152
234.064     418.9207
241.099     432.7468
244.493     438.3274
248.082     443.8453
255.009     455.9157
258.536     463.1579
261.637     468.1742
265.329     474.7267
272.498     488.9917
276.107     494.0079
279.429     501.5637
286.608     515.8287
290.105     523.165
293.606     529.0904
300.42     541.5057
304.03     549.9393
307.593     556.774
314.556     568.0919
317.878     574.2995
321.493     580.9461
325.278     586.5267
332.364     598.0014
339.537     605.3063
343.116     611.9842
350.156     624.3368
353.827     630.7325
357.406     638.8839
364.58     652.1143
367.974     659.7955
371.578     666.7869
375.378     673.5275
382.552     686.9774
386.218     694.0628
389.401     700.8975
396.945     711.0868
400.591     717.2003
404.329     724.6934
411.467     741.7487
415.154     747.0785
418.671     751.3423
422.378     757.9261
429.567     774.6366
433.295     781.1891
436.813     788.3372
444.14     802.3514
447.683     808.1828
451.386     813.8575
458.523     829.0003
462.179     835.7096
465.897     842.2621
469.471     856.6525
476.876     871.1369
480.414     876.6862
484.183     883.2073
491.449     898.3188
495.229     906.1567
498.777     913.1795
506.058     928.5105
509.647     933.464
513.463     939.7344
520.821     955.5356
524.642     960.8967
528.149     965.5681
531.852     971.1487
539.292     986.417
543.118     993.5024
546.924     1000.6193
554.097     1013.5361
557.763     1019.9005
561.486     1027.2682
569.004     1043.4456
572.645     1051.7225
576.404     1060.156
579.978     1066.8653
587.552     1082.8233
591.188     1089.0309
595.014     1094.6742
602.285     1105.2084
606.172     1111.9176
609.839     1118.6582
617.424     1132.3589
620.884     1139.7892
624.782     1149.0066
628.649     1155.7786
636.265     1170.3884
639.962     1177.5993
643.546     1185.1237
650.93     1199.2947
654.941     1207.6342
658.927     1215.0959
666.511     1228.7652
670.214     1235.255
673.963     1243.187
677.953     1250.8995
685.553     1265.3839
689.436     1273.1905
692.994     1280.2446
700.898     1295.1367
704.574     1301.9713
708.462     1310.0287
715.615     1324.764
719.492     1333.1976
723.601     1341.8193
727.426     1349.5631
735.196     1364.0476
738.971     1369.0952
742.791     1376.9018
750.438     1391.7938
754.3     1398.2522
758.002     1404.115
765.644     1420.3238
769.5     1427.9423
773.485     1435.7488
777.265     1442.27
785.025     1457.7263
788.588     1465.2507
792.635     1471.427
800.158     1485.9742
804.179     1495.944
808.113     1503.7505
811.944     1509.7387
819.668     1522.4675
823.627     1529.1454
827.623     1537.9238
835.347     1553.1294
839.136     1559.5251
842.993     1567.3003
850.876     1583.6032
854.743     1590.3751
858.764     1598.1504
862.467     1606.0823
870.226     1623.3257
874.201     1631.6653
878.233     1644.6135
889.937     1661.5747
893.819     1668.5348
897.768     1676.2473
905.636     1693.0205
909.621     1699.2281
913.509     1706
916.933     1712.772
925.387     1730.517
929.311     1740.3928
933.368     1748.0426
941.102     1762.0881
945.195     1770.7098
949.134     1777.7013
957.274     1790.9944
961.028     1798.5815
965.147     1806.388
969.091     1813.4108
977.278     1828.3655
981.155     1835.8586
984.898     1842.8813
992.977     1859.9366
997.132     1869.9378
1001.194     1878.873
1009.226     1894.9878
1013.083     1901.6657
1017.053     1910.789
1025.275     1925.587
1029.348     1933.3622
1033.441     1940.8866
1037.19     1947.7213
1045.536     1962.9582
1049.48     1970.1063
1053.712     1976.8156
1061.564     1992.8363
1065.724     2002.7121
1069.709     2011.1143
1077.932     2027.4172
1081.855     2034.2518
1085.943     2041.7135
1089.985     2049.332
1098.105     2064.5689
1101.802     2071.717
1105.952     2080.9031
1114.231     2095.1681
1118.35     2103.5076
1122.546     2111.3142
1130.676     2128.1187
1134.63     2135.5803
1138.497     2144.1707
1146.75     2159.2195
1150.782     2167.6844
1155.055     2176.7764
1159.092     2184.4889
1167.155     2199.2555
1170.698     2206.6859
1175.012     2214.9627
1183.368     2230.6072
1187.605     2237.9748
1191.529     2244.6841
1199.901     2261.1751
1203.906     2270.3297
1208.082     2279.1709
1212.288     2287.4164
1220.356     2304.0641
1224.403     2311.275
1228.419     2320.367
1236.719     2334.9141
1240.565     2341.3099
1244.7     2348.7716
1253.195     2365.7642
1257.411     2375.1383
1261.422     2382.8822
1265.588     2391.7233
1273.671     2408.6219
1277.955     2417.4317
1282.058     2425.3323
1290.471     2444.2687
1294.41     2451.4169
1298.58     2458.5023
1306.7     2473.9901
1310.994     2483.2388
1315.195     2490.4183
1319.093     2506.0628
1327.372     2521.6446
1331.521     2529.1063
1339.805     2546.7572
1343.95     2554.2503
1348.074     2563.7498
1356.292     2583.2819
1360.472     2591.9663
1364.576     2600.2745
1368.823     2606.6702
1376.938     2620.2141
1381.216     2627.7385
1385.304     2635.3883
1393.763     2648.8382
1397.707     2657.554
1402.021     2667.0222
1410.378     2684.924
1414.661     2693.8905
1418.785     2702.5122
1422.878     2709.8485
1431.204     2727.6563
1435.472     2734.9612
1439.765     2743.7083
1448.173     2762.6133
1452.235     2770.9215
1456.37     2778.1951
1464.906     2796.0029
1469.184     2802.8062
1477.422     2810.9262
1481.747     2819.4852
1490.206     2833.9697
1494.587     2842.7482
1498.804     2852.091
1507.227     2870.7765
1511.428     2879.2101
1515.727     2886.6405
1524.119     2903.006
1528.371     2911.7218
1532.557     2919.7478
1536.728     2929.1847
1545.392     2947.1805
1549.645     2955.8336
1554.011     2963.8596
1562.351     2980.0997
1566.738     2988.1885
1570.903     2994.9291
1579.645     3013.2698
1583.671     3021.9542
1588.078     3030.5132
1592.331     3038.7587
1601.011     3057.1934
1605.196     3064.5611
1609.418     3073.9352
1618.016     3090.8651
1622.454     3100.5841
1626.758     3109.0491
1635.376     3124.5054
1639.238     3131.1206
1643.722     3137.2656
1648.252     3146.7965
1656.778     3168.2723
1661.139     3174.7935
1665.196     3182.6314
1673.979     3202.0694
1678.155     3211.1614
1682.608     3221.2566
1691.077     3239.9736
1695.417     3246.9336
1699.634     3255.3672
1704.03     3263.7068
1712.572     3280.2604
1716.943     3287.44
1721.195     3295.7482
1729.886     3313.1483
1734.179     3322.2403
1738.442     3330.4544
1746.706     3347.2589
1751.313     3356.0687
1755.941     3364.2829
1759.947     3373.1554
1768.699     3390.7437
1773.039     3400.4
1777.539     3410.119
1786.203     3435.7646
1790.723     3444.1042
1794.976     3452.1929
1803.702     3468.5271
1808.068     3476.365
1812.609     3484.4537
1816.908     3494.9565
1825.737     3510.0367
1829.912     3520.5708
1834.324     3530.3212
1843.066     3548.0035
1847.561     3555.622
1852.07     3563.3972
1860.653     3582.2395
1865.018     3592.6483
1869.374     3600.9251
1878.357     3617.0399
1882.636     3624.9718
1887.079     3632.9979
1891.362     3643.0617
1900.351     3658.2359
1904.67     3667.8922
1909.185     3677.9561
1917.829     3695.4503
1922.416     3704.6677
1926.551     3713.9792
1935.827     3732.9783
1940.039     3744.6097
1944.548     3754.7677
1953.465     3769.2835
1957.995     3776.8706
1962.412     3786.0566
1966.706     3795.807
1975.649     3812.486
1980.21     3821.1391
1984.776     3828.7576
1993.605     3846.1891
1998.017     3856.3157
2002.465     3866.8185
2011.526     3886.4759
2015.969     3895.9755
2020.571     3904.5031
2024.814     3912.8427
2033.874     3931.9672
2038.235     3941.1846
2042.801     3949.1165
2051.62     3962.535
2056.233     3972.0346
2060.676     3979.6217
2069.752     3998.5581
2074.143     4007.7755
2078.591     4016.0837
2083.142     4024.8308
2092.125     4040.5693
2096.682     4051.1348
2101.068     4062.7036
2114.427     4081.7654
2119.055     4089.7287
2123.534     4100.3882
2132.749     4118.823
