Distance_nm     Force_uN
0     0.6584
-0.016     0.6584
0.083     0.4389
1.519     0.3762
3.983     0.9405
6.557     1.4422
8.928     1.2854
11.377     0.7211
13.82     0.1254
16.123     0.3449
18.582     1.066
20.979     1.5989
23.292     1.7557
25.699     1.693
28.006     0.4703
30.377     -0.8151
32.873     -0.4703
35.112     0.5016
37.41     1.0973
39.838     1.2854
42.083     0.9405
44.385     0.4703
46.751     0.5957
49.017     0.9405
51.324     0.4389
53.606     -0.1568
55.903     0.5643
58.363     1.2541
60.66     1.3481
62.931     1.2227
65.255     1.2854
67.526     1.6616
69.844     2.0379
72.188     2.0065
74.434     1.9125
76.841     2.8216
79.253     5.079
81.514     8.026
