dDisplacement_nm_ori     dForce
-0.406     2.0692
0.175     1.7557
7.842     22.7926
11.416     28.1538
15.026     32.2295
18.204     36.6814
24.899     43.9864
28.853     53.1097
32.607     60.54
39.544     72.7358
43.133     78.3478
46.429     84.7435
53.443     97.4096
56.847     102.7707
60.396     109.0724
63.944     116.973
70.804     130.611
74.208     136.6932
77.638     141.4586
84.41     152.4944
87.891     159.674
91.434     165.7875
98.33     177.8893
101.878     184.0969
105.293     191.2764
112.193     200.9954
115.356     207.2344
118.873     214.2572
122.55     219.2421
129.646     231.72
132.809     238.6174
136.382     246.8002
143.268     259.8111
146.909     265.3604
150.395     271.5993
157.27     284.767
160.69     289.5325
164.171     294.4547
167.796     301.6656
174.672     314.8019
178.096     321.8247
181.516     329.3491
185.193     335.1178
191.955     348.4109
195.544     352.5493
198.958     359.5721
205.916     375.0598
209.572     380.8285
213.228     386.7853
220.083     398.166
223.749     404.2482
227.256     409.7034
234.368     425.1597
237.849     432.4333
241.356     439.0485
244.976     445.1621
252.021     457.546
255.682     462.7817
259.112     470.5256
266.065     481.8749
269.603     488.8663
273.284     496.955
284.134     510.5616
287.41     516.926
291.107     523.3217
294.779     530.3759
301.911     541.8819
305.5     548.4031
308.879     556.0529
316.016     569.1265
319.647     576.212
323.406     580.4444
326.918     587.6553
334.148     601.1052
337.639     608.6296
341.465     615.9032
348.628     629.9174
352.357     638.2569
355.776     647.0667
359.422     651.7695
366.652     662.4604
370.38     667.9783
374.077     675.001
381.225     699.2986
384.84     705.757
388.45     710.9614
395.803     726.1356
399.408     733.754
403.136     742.1249
410.412     755.9823
414.13     761.4062
417.637     768.2095
421.443     775.6085
428.611     788.1805
432.447     795.7989
436.026     803.825
443.559     814.0456
447.025     820.5354
450.764     829.3452
458.158     842.7324
462.005     849.2221
465.661     856.4957
469.219     865.1488
476.624     882.0787
480.347     888.0982
484.111     893.6474
491.603     906.7524
495.208     913.7438
498.859     920.9861
506.428     931.8337
510.177     939.4522
514.023     946.1614
521.305     962.8092
525.12     969.2049
528.782     975.6633
532.592     983.9715
539.848     999.1771
543.679     1005.9177
547.412     1011.9372
555.11     1025.7633
558.73     1033.6012
562.468     1041.0629
569.909     1049.8727
573.771     1058.6825
577.53     1065.9247
581.299     1073.0729
588.771     1086.1779
592.515     1095.0504
596.443     1103.4527
603.997     1117.8431
607.833     1125.5556
611.433     1133.2054
619.177     1146.7807
622.946     1153.4272
