Distance_nm     Force_uN
0     2.349
0.415     0.891
1.598     0.081
6.572     -0.243
14.197     -0.486
22.046     0.891
28.884     2.916
35.727     3.726
43.013     1.458
50.668     -2.106
59.166     -0.972
66.266     1.62
72.381     3.321
79.361     3.321
86.454     2.349
93.792     3.969
100.794     3.564
107.881     1.458
115.855     1.134
123.397     1.134
130.309     3.807
136.978     5.427
143.601     3.24
151.152     0.486
159.415     -0.324
166.677     -0.567
173.721     -1.134
181.263     -0.324
188.104     1.458
202.123     2.025
208.981     1.62
216.413     2.511
223.431     2.997
230.179     3.159
237.541     3.969
244.58     2.673
251.973     0.81
259.749     2.592
266.181     4.374
272.777     3.402
280.527     2.106
288.019     1.458
295.237     2.511
302.194     3.726
308.664     1.215
316.73     -1.944
324.938     -2.025
331.69     -1.701
338.828     2.592
344.714     6.48
350.759     6.318
358.176     4.374
365.793     2.268
373.503     0.972
381.34     -0.324
388.717     0.567
395.8     3.645
402.211     5.427
408.38     5.508
415.632     4.536
423.086     0.891
431.112     -1.458
439.249     -0.243
445.982     2.754
452.185     3.726
459.345     2.835
466.662     1.377
474.246     0.648
481.898     0.162
488.842     0.405
496.051     0.324
503.297     0.648
510.122     2.592
517.004     5.103
523.568     5.832
530.3     5.346
537.985     3.24
545.547     -0.162
553.54     -0.486
561.099     1.377
567.46     3.159
574.253     4.941
581.113     3.564
588.429     1.62
596.391     1.134
603.731     1.134
610.56     1.863
617.951     0.729
625.58     -0.648
632.912     0.081
640.22     -0.405
647.395     0.324
654.456     3.24
661.109     6.723
667.049     3.483
675.147     -0.405
683.831     -0.648
690.94     1.539
697.74     5.184
703.982     7.209
710.397     4.293
718.721     -0.891
727.293     -3.564
735.14     -1.539
742.115     1.62
748.422     1.863
755.73     1.296
763.156     2.268
769.987     1.458
777.776     0.891
785.269     3.321
791.46     4.536
798.653     2.43
806.462     1.458
813.455     2.025
820.988     5.427
827.246     7.452
833.76     5.913
841.663     1.62
849.93     -2.43
858.312     -2.754
865.969     0
872.189     0.162
879.732     0.81
887.144     2.106
893.838     2.106
901.03     1.296
907.732     0.567
915.17     2.916
922.025     5.67
928.326     4.941
935.846     2.268
944.087     -0.648
952.114     0.081
959.505     3.888
965.72     5.994
972.08     4.212
980.378     2.025
988.291     0
995.979     -2.268
1004.21     -2.106
1011.49     -0.972
1018.59     1.62
1025.346     2.673
1032.238     1.296
1040.097     -0.567
1048.235     -1.053
1055.508     0.891
1062.489     4.779
