Distance_nm     Force_uN
-0.084     2.673
0.495     1.539
2.375     0.162
3.106     1.134
3.164     0.162
4.286     0.567
5.876     0.486
6.013     0.324
6.26     1.863
7.866     6.48
9.172     5.184
9.166     5.751
9.619     5.265
11.441     8.343
12.11     6.075
12.094     5.103
14.91     10.773
15.295     9.072
15.237     7.452
15.369     8.1
18.196     17.172
18.338     13.608
18.317     14.499
20.244     21.87
21.26     23.004
21.255     23.652
21.16     25.029
23.65     35.478
24.203     33.372
24.193     33.372
25.325     42.768
27.015     46.575
27.225     46.818
27.378     46.656
28.9     46.17
30.232     48.033
30.311     46.089
30.632     54.432
32.496     55.89
33.338     56.781
33.196     54.189
33.959     57.915
35.818     59.535
36.213     56.457
37.545     62.37
39.203     67.635
39.219     68.526
39.403     69.903
41.104     72.819
42.267     76.302
42.283     78.003
42.789     77.031
44.663     84.24
45.211     88.452
45.189     85.212
46.164     87.966
48.322     98.091
48.285     95.985
48.291     95.499
49.47     95.742
51.392     109.026
51.271     106.353
51.507     103.518
54.361     122.958
54.345     121.743
54.345     118.017
54.998     116.883
57.452     122.715
57.415     123.12
57.352     126.279
59.842     130.815
60.542     135.513
60.558     135.351
62.132     136.809
63.501     145.719
63.538     148.392
63.459     145.152
65.691     148.23
66.608     153.657
66.665     153.333
67.366     148.554
69.277     156.087
69.761     163.134
69.74     161.109
71.056     167.913
72.704     174.636
72.883     172.935
73.02     168.48
74.684     173.583
75.874     177.228
75.816     175.122
76.364     177.39
78.233     183.951
78.97     181.683
79.022     182.979
80.039     189.135
81.802     195.615
82.029     187.272
82.192     186.786
83.698     191.889
85.177     198.693
85.114     195.858
85.461     196.911
87.278     207.846
88.247     216.351
88.189     215.946
88.842     216.27
91.342     220.806
91.353     219.753
91.395     218.133
94.249     228.42
94.591     231.093
94.533     232.065
94.654     238.383
97.629     246.969
97.713     246.078
97.671     247.455
99.94     254.583
100.893     254.583
100.867     254.016
100.814     258.309
103.605     258.471
104.089     262.197
104.1     263.898
105.426     260.334
107.069     263.655
107.232     267.138
107.338     269.811
108.949     279.369
110.312     274.914
110.365     275.238
110.923     282.123
112.871     284.715
113.592     288.117
114.551     287.712
116.404     294.516
116.73     295.488
116.783     294.435
118.226     297.189
119.747     302.859
119.863     303.345
119.889     301.806
121.248     308.367
122.875     312.174
122.99     312.822
123.659     318.087
125.628     325.296
126.228     318.573
126.286     317.763
127.46     326.592
129.44     331.209
129.419     329.913
129.556     334.611
131.177     340.119
132.683     345.06
132.615     348.381
133.062     347.166
135.916     356.805
135.958     360.288
135.884     359.883
138.57     358.911
139.154     359.316
139.07     364.986
139.086     370.008
142.055     380.214
142.266     375.678
142.266     376.002
144.256     385.803
145.451     386.613
145.514     384.993
145.993     390.825
147.978     393.741
148.763     392.202
148.794     394.308
149.789     402.084
151.643     407.025
151.979     408.24
152.08     409.131
153.617     410.103
155.033     413.91
155.186     415.206
155.533     414.801
157.392     420.957
158.477     421.038
158.445     425.574
159.208     428.166
161.146     428.976
161.688     432.216
161.725     435.051
162.789     435.294
164.916     446.391
164.952     449.469
165.121     448.74
166.79     449.469
168.259     454.491
168.196     455.625
168.601     453.276
171.434     460.485
171.434     461.619
171.439     466.236
174.256     476.361
174.751     477.252
174.745     477.819
174.814     478.872
177.825     485.271
178.073     485.757
178.068     481.95
180.179     484.137
181.311     489.159
181.269     490.374
181.242     489.807
183.722     500.823
184.575     508.356
184.596     509.247
185.249     506.331
187.192     512.001
187.781     511.839
187.939     520.02
189.419     521.478
190.925     522.936
191.056     519.129
191.472     521.073
193.399     525.123
194.458     527.472
194.442     534.276
197.095     542.619
197.711     545.535
197.711     545.94
198.917     546.75
200.675     551.529
200.918     550.395
201.139     554.121
202.655     556.713
204.203     557.361
204.387     555.174
204.772     567.405
206.667     575.91
207.609     574.29
207.588     575.019
208.536     578.664
210.468     584.577
210.942     583.281
211.074     582.714
212.422     590.247
214.106     595.755
214.333     593.163
214.496     595.674
216.176     602.802
217.46     607.419
217.523     608.715
217.966     612.684
220.819     620.784
220.856     618.84
220.872     616.329
221.925     619.326
224.226     630.666
224.263     626.049
224.442     623.376
227.374     632.934
227.511     638.442
227.501     639.576
227.869     639.09
230.876     650.673
230.939     650.754
230.902     651.645
233.703     656.262
234.266     654.723
234.229     655.533
235.335     663.147
237.204     670.113
237.536     668.979
237.557     671.085
239.336     681.777
240.747     682.344
240.89     686.475
241.374     684.369
243.343     689.796
244.249     692.307
244.301     696.438
245.138     695.709
247.186     703.08
247.681     705.996
247.692     705.267
249.108     709.479
250.804     712.962
251.125     714.501
251.309     713.205
252.831     715.068
254.315     719.361
254.368     726.165
255     731.754
257.022     732.078
257.774     735.723
257.827     731.511
258.901     735.156
261.181     745.767
261.17     750.222
261.312     750.951
262.866     751.113
264.587     761.562
264.603     763.911
264.972     762.129
267.831     769.824
267.936     770.634
267.962     766.908
270.721     773.55
271.253     776.547
271.179     779.463
271.316     783.189
274.37     787.806
274.612     794.286
274.549     793.314
276.57     801.738
277.955     806.922
278.013     809.028
278.003     802.629
280.535     800.523
281.377     804.654
281.409     810.567
284.231     817.209
284.721     821.664
284.736     824.013
286.363     825.714
287.948     832.761
288.164     836.487
288.106     838.593
290.138     835.596
291.407     842.886
291.544     847.341
292.26     844.992
294.224     842.157
294.977     849.447
295.04     851.958
296.114     842.643
297.962     842.562
298.325     853.821
298.604     862.002
300.137     854.145
301.621     868.644
301.742     862.488
302.069     865.08
303.917     873.099
305.191     879.984
305.191     876.663
305.939     881.847
307.971     890.433
308.671     884.358
308.75     884.439
310.014     893.916
312.051     900.72
312.057     894.969
312.209     893.592
313.915     902.178
315.463     911.25
315.468     910.44
315.947     914.166
318.812     925.587
318.827     926.964
318.859     923.562
321.46     939.033
322.155     938.385
322.213     934.416
322.334     930.69
325.498     947.376
325.682     945.999
325.709     940.572
327.888     953.775
329.105     957.177
329.126     956.286
329.842     956.286
331.816     966.978
332.543     973.539
332.495     970.947
333.759     972.243
335.649     980.748
336.033     979.128
336.202     972.486
337.797     982.611
339.303     984.798
339.403     980.1
339.908     987.876
341.841     1000.836
342.83     997.029
342.925     997.839
343.805     1007.559
345.905     1011.366
346.4     1015.983
346.437     1020.195
347.769     1027.89
349.57     1025.541
349.764     1026.918
349.943     1032.021
351.676     1035.909
353.234     1031.94
353.234     1036.071
353.713     1042.632
356.641     1040.04
356.746     1037.286
356.767     1044.171
357.472     1054.134
360.079     1053.243
360.121     1053.567
360.173     1059.318
363.343     1064.583
363.596     1061.019
363.632     1061.262
365.702     1074.546
366.976     1077.786
367.055     1080.054
367.75     1080.135
370.619     1083.78
370.609     1082.727
370.661     1084.995
373.62     1090.665
374.015     1100.952
373.978     1099.98
374.131     1097.307
377.227     1104.597
377.4     1105.326
377.432     1107.756
379.854     1116.99
380.917     1116.99
380.923     1111.644
381.723     1108.566
383.771     1112.778
384.371     1111.887
384.435     1109.052
385.793     1122.66
387.551     1126.872
387.778     1128.249
387.83     1137.726
389.026     1141.29
390.874     1145.988
391.237     1139.913
391.816     1141.371
393.806     1147.365
394.691     1155.708
394.743     1159.191
395.775     1157.409
397.713     1157.085
398.102     1166.238
398.303     1169.802
399.808     1171.665
401.361     1178.55
401.641     1186.083
401.941     1189.809
403.789     1187.946
405.126     1192.887
405.173     1198.314
405.831     1195.884
408.638     1193.535
408.727     1206.333
408.78     1204.146
409.812     1205.361
412.16     1221.966
412.149     1223.019
412.371     1221.804
415.472     1228.122
415.63     1230.147
415.672     1231.119
416.082     1227.069
419.141     1228.608
419.22     1235.979
419.247     1238.166
422.116     1247.481
422.701     1248.453
422.69     1251.369
424.127     1264.329
425.986     1266.435
426.318     1262.709
426.381     1258.092
428.276     1274.373
429.64     1279.152
429.792     1276.641
430.293     1283.283
432.367     1288.629
433.225     1287.738
433.299     1289.115
434.273     1299.078
436.3     1306.53
436.758     1300.779
436.842     1296.81
438.317     1309.284
439.896     1310.742
440.244     1305.396
440.617     1310.661
442.492     1320.705
443.682     1319.085
443.739     1319.895
444.487     1328.238
446.556     1332.045
447.32     1328.238
447.399     1332.369
448.567     1341.927
450.816     1341.846
450.863     1346.787
451.063     1354.725
454.227     1360.395
454.406     1356.669
454.406     1357.722
456.812     1364.364
457.944     1363.878
457.992     1361.286
458.16     1362.744
461.256     1371.735
461.393     1370.682
461.498     1372.14
462.778     1375.542
464.952     1382.427
464.978     1374.975
465.258     1379.673
468.332     1396.278
468.501     1392.309
468.553     1388.097
471.081     1398.546
471.923     1399.437
472.013     1400.814
472.149     1406.727
475.119     1412.559
475.651     1417.095
475.677     1421.145
477.209     1422.279
478.873     1425.195
479.073     1426.653
479.104     1427.544
481.274     1434.024
482.585     1433.538
482.679     1435.401
483.385     1444.959
485.422     1447.875
486.196     1449.09
486.312     1453.221
487.492     1456.623
489.371     1459.944
489.808     1463.832
490.014     1470.474
491.588     1469.097
493.115     1467.396
493.325     1468.773
493.773     1472.418
495.779     1474.362
496.926     1481.004
496.932     1484.163
497.753     1489.185
500.322     1488.78
500.375     1490.643
500.496     1494.288
501.797     1492.911
503.903     1492.425
503.934     1501.659
504.203     1506.681
507.383     1508.706
507.478     1511.784
507.514     1514.781
510.215     1521.018
511.047     1526.364
511.079     1527.174
512.184     1521.99
514.101     1525.473
514.538     1529.361
514.627     1529.685
516.217     1530.819
517.934     1540.458
518.181     1545.237
518.481     1550.907
520.314     1560.708
521.604     1568.97
521.677     1570.671
522.441     1567.755
524.494     1574.802
525.231     1578.366
525.473     1570.266
526.653     1577.394
528.622     1586.547
528.911     1587.762
529.064     1584.684
530.386     1592.055
532.492     1605.42
532.476     1600.155
532.944     1601.532
534.992     1606.554
535.998     1613.601
536.093     1611.171
536.972     1616.679
539.547     1617.489
539.541     1614.735
539.699     1612.872
541.121     1618.623
543.201     1629.882
543.269     1628.1
543.459     1628.262
546.744     1644.705
546.728     1645.434
547.265     1646.811
550.261     1657.341
550.356     1662.12
550.408     1663.173
551.377     1658.799
553.889     1662.93
553.936     1667.871
554.11     1668.114
557.184     1681.236
557.469     1675.566
557.574     1672.893
559.822     1685.853
561.044     1694.601
561.165     1694.844
561.254     1694.763
563.95     1701.405
564.708     1707.642
564.761     1703.835
565.988     1709.586
567.951     1711.125
568.357     1712.583
568.373     1716.795
570.273     1715.337
571.816     1720.764
571.995     1724.895
572.406     1728.702
574.38     1735.587
575.391     1738.584
575.512     1736.235
576.381     1738.422
578.397     1738.908
579.003     1742.067
579.25     1750.977
580.529     1752.03
582.383     1752.273
582.783     1754.946
582.999     1761.345
584.773     1766.448
586.237     1766.448
586.3     1768.473
586.958     1773.981
589.001     1776.897
589.954     1774.467
589.985     1779.408
591.023     1788.318
593.518     1793.34
593.56     1792.692
593.718     1796.742
596.898     1804.113
597.104     1804.275
597.167     1809.054
597.599     1807.596
600.689     1808.892
600.768     1814.886
600.837     1821.123
603.211     1823.229
604.296     1829.223
604.411     1829.709
604.527     1828.008
607.534     1829.628
607.934     1836.027
608.018     1844.208
609.829     1843.56
611.382     1852.227
611.577     1854.414
612.046     1857.087
614.046     1860.246
615.163     1863.891
615.315     1869.561
616.179     1871.748
618.269     1870.695
618.906     1870.452
619.001     1882.602
620.338     1888.515
622.139     1893.213
